metaDateCreated,date_time,state,county,sample_type,Sample_ID,store_group/store_name,store_group/store_brand,group_farm/farm_name,group_farm/followup,group_farm/farm_email,farm_variety,farm_practice,vegetable_quality,soil_group/soil_type,soil_group/soil_organic_matter,soil_group/soil_slope,soil3.Depth,soil3.display_respiration.data.ugc_gsoil,soil3.scan_vis.data.device_battery,soil3.scan_vis.data.device_id,soil3.scan_vis.data.median_365,soil3.scan_vis.data.median_385,soil3.scan_vis.data.median_450,soil3.scan_vis.data.median_500,soil3.scan_vis.data.median_530,soil3.scan_vis.data.median_587,soil3.scan_vis.data.median_632,soil3.scan_vis.data.median_850,soil3.scan_vis.data.median_880,soil3.scan_vis.data.median_940,soil3.display_loi.data.Organic_Matter,soil3.display_loi.data.Total Organic C %,soil3.xrf.data.elements,soil3.xrf.data.elements_ppm,soil3.xrf.data.elements_photons,soil9.Depth,soil9.display_respiration.data.ugc_gsoil,soil9.scan_vis.data.device_battery,soil9.scan_vis.data.device_id,soil9.scan_vis.data.median_365,soil9.scan_vis.data.median_385,soil9.scan_vis.data.median_450,soil9.scan_vis.data.median_500,soil9.scan_vis.data.median_530,soil9.scan_vis.data.median_587,soil9.scan_vis.data.median_632,soil9.scan_vis.data.median_850,soil9.scan_vis.data.median_880,soil9.scan_vis.data.median_940,soil9.display_loi.data.Organic_Matter,soil9.display_loi.data.Total Organic C %,soil9.xrf.data.elements,soil9.xrf.data.elements_ppm,soil9.xrf.data.elements_photons,carrots.metaDateCreated,carrots.carrot_diameter,carrots.supernatant.data.median_850,carrots.supernatant.data.median_880,carrots.supernatant.data.median_940,carrots.supernatant.data.median_365,carrots.supernatant.data.median_385,carrots.supernatant.data.median_450,carrots.supernatant.data.median_500,carrots.supernatant.data.median_530,carrots.supernatant.data.median_587,carrots.supernatant.data.median_632,carrots.sample_quality,carrots.xrf.data.elements,carrots.xrf.data.elements_ppm,carrots.xrf.data.elements_photons,carrots.veg_results.data.polyphenolsMgGae100gFw,carrots.veg_results.data.proteinMgPer100g,carrots.veg_results.data.antioxidentsFrap,carrots.veg_results.data.moistureContent,carrots.carrot_color,carrots.carrotscan.median_365,carrots.carrotscan.median_385,carrots.carrotscan.median_450,carrots.carrotscan.median_500,carrots.carrotscan.median_530,carrots.carrotscan.median_587,carrots.carrotscan.median_632,carrots.carrotscan.median_850,carrots.carrotscan.median_880,carrots.carrotscan.median_940,spinach.metaDateCreated,spinach.supernatant.data.median_850,spinach.supernatant.data.median_880,spinach.supernatant.data.median_940,spinach.supernatant.data.median_365,spinach.supernatant.data.median_385,spinach.supernatant.data.median_450,spinach.supernatant.data.median_500,spinach.supernatant.data.median_530,spinach.supernatant.data.median_587,spinach.supernatant.data.median_632,spinach.sample_quality,spinach.xrf.data.elements,spinach.xrf.data.elements_ppm,spinach.xrf.data.elements_photons,spinach.veg_results.data.polyphenolsMgGae100gFw,spinach.veg_results.data.antioxidentsFrap,spinach.veg_results.data.proteinMgPer100g,spinach.spinachscan.median_365,spinach.spinachscan.median_385,spinach.spinachscan.median_450,spinach.spinachscan.median_500,spinach.spinachscan.median_530,spinach.spinachscan.median_587,spinach.spinachscan.median_632,spinach.spinachscan.median_850,spinach.spinachscan.median_880,spinach.spinachscan.median_940,food_Na,food_Mg,food_Al,food_Si,food_P,food_S,food_Cl,food_K,food_Ca,food_Mn,food_Fe,food_Ni,food_Cu,food_Zn,food_As,food_Pb,food_Se,food_Mo,soil_0_15_Na,soil_15_30_Na,soil_0_15_Mg,soil_15_30_Mg,soil_0_15_Al,soil_15_30_Al,soil_0_15_Si,soil_15_30_Si,soil_0_15_P,soil_15_30_P,soil_0_15_S,soil_15_30_S,soil_0_15_K,soil_15_30_K,soil_0_15_Ca,soil_15_30_Ca,soil_0_15_Ba,soil_15_30_Ba,soil_0_15_Ti,soil_15_30_Ti,soil_0_15_Cr,soil_15_30_Cr,soil_0_15_Mn,soil_15_30_Mn,soil_0_15_Fe,soil_15_30_Fe,soil_0_15_Ni,soil_15_30_Ni,soil_0_15_Cu,soil_15_30_Cu,soil_0_15_Zn,soil_15_30_Zn,soil_0_15_Pb,soil_15_30_Pb,soil_0_15_Rb,soil_15_30_Rb,soil_0_15_Sr,soil_15_30_Sr,soil_0_15_As,soil_15_30_As,soil_0_15_Se,soil_15_30_Se,soil_0_15_Mo,soil_15_30_Mo,bioScore
2018-11-19T12:13:45.225-08:00,11/15/18,IA,Van Buren,spinach,831,,,,,,Bloomsdale,organic nospray,,silty,medium,5,3,32.97,96,00:00:00:02,3.74176,7.01891,16.9205,17.3767,21.1717,28.5751,26.0859,-37.5848,-58.3955,-44.1732,4.98,2.89,"Na,Mg,Al,Si,P,S,Rh,K,Ca,Ba,Ti,Cr,Mn,Fe,Ni,Cu,Zn,As,Pb,Se,Rb,Sr,Mo","0.12,3273.54,20258.14,17.53,1365.68,880.5,0,16484.04,2879.35,316.51,0.46,55.79,1001.89,19331.58,54.55,110.98,181.2,13.05,82.86,2.07,88.67,134.1,20.89","4.086,5.774,132.062,2073.83,19.47,30.199,155.168,370.311,200.298,202.531,238.258,41.551,125.76,1880.36,87.686,47.822,54.531,1.613,1.627,0.403,10.953,17.813,9.589",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-11-20T09:44:09.288-05:00,3.33798,0.352886,3,-25.188,-37.957,-65.0702,-16.7414,-13.7317,-11.6026,-14.0594,yes,"Na,Mg,Al,Si,P,S,Cl,Rh,K,Ca,Mn,Fe,Ni,Cu,Zn,As,Pb,Se,Mo","-4627.66,34572.83,425.83,8052.13,8242.83,6500.87,5564.76,0,71411.75,9744.1,115.52,888.83,6.24,6.6,106.5,0.55,3.67,5.72,3.35","7.305,10.519,44.072,259.713,233.705,271.959,402.476,499.77,4098.62,604.828,68.649,246.121,123.444,67.405,99.406,0.27,0.27,0.21,6",79,294.49,2.18,-2.8955100000000003,-4.240113333333333,-1.4842123333333335,-3.4894933333333333,-1.4770406666666667,-3.5407333333333333,-3.61143,40.6615,43.6615,42.60386666666667,-4627.66,34572.83,425.83,8052.13,8242.83,6500.87,5564.76,71411.75,9744.1,115.52,888.83,6.24,6.6,106.5,0.55,3.67,5.72,3.35,0.12,,3273.54,,20258.14,,17.53,,1365.68,,880.5,,16484.04,,2879.35,,316.51,,0.46,,55.79,,1001.89,,19331.58,,54.55,,110.98,,181.2,,82.86,,88.67,,134.1,,13.05,,2.07,,20.89,,2
2018-11-19T12:14:20.974-08:00,11/15/18,IA,Van Buren,spinach,832,,,,,,Bloomsdale,organic nospray,,silty,medium,5,3,19.11,96,00:00:00:02,3.37222,7.24698,16.4749,16.0827,20.4128,28.9511,24.0599,-37.568,-58.377,-44.1312,5,2.9,"Na,Mg,Al,Si,P,S,Rh,K,Ca,Ba,Ti,Cr,Mn,Fe,Ni,Cu,Zn,As,Pb,Se,Rb,Sr,Mo","0.16,3433,22679.38,16.83,1294,1129.62,0,17213.71,3647.33,-187.46,0.47,56.7,955.6,20058.32,65.29,126.1,219.25,15.52,89.18,3.88,92.92,142.6,21.9","4.552,6.377,152.815,2369.25,20.942,37.088,158.168,386.447,213.867,210.47,248.916,42.891,122.18,1960.36,93.883,50.328,59.927,1.793,1.806,0.542,11.473,18.979,9.764",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-11-20T09:57:14.307-05:00,3.58078,0.53183,3.99712,-24.9156,-37.7532,-68.2563,-17.6669,-15.0499,-12.6684,-15.0946,yes,"Na,Mg,Al,Si,P,S,Cl,Rh,K,Ca,Mn,Fe,Ni,Cu,Zn,As,Pb,Se,Mo","-6824.8,51725.89,559.67,11509.79,3657.92,5278.11,3809.82,0,76619.65,12499.44,145.1,1360.51,6.44,5.89,156.52,0.37,2.12,5.6,2.82","7.503,12.678,48.943,315.741,191.213,241.145,319.457,441.485,4448.3,735.487,73.21,311.903,121.389,66.199,114.616,0.24,0.24,0.2,5.92",82.89,168.33,4.28,-3.31594,-4.877463333333334,-3.28917,-6.018689999999999,-4.6271233333333335,-6.95658,-6.517903333333333,40.74753333333333,43.37323333333333,44.74896666666666,-6824.8,51725.89,559.67,11509.79,3657.92,5278.11,3809.82,76619.65,12499.44,145.1,1360.51,6.44,5.89,156.52,0.37,2.12,5.6,2.82,0.16,,3433,,22679.38,,16.83,,1294,,1129.62,,17213.71,,3647.33,,-187.46,,0.47,,56.7,,955.6,,20058.32,,65.29,,126.1,,219.25,,89.18,,92.92,,142.6,,15.52,,3.88,,21.9,,2
2018-11-19T12:15:08.384-08:00,11/15/18,IA,Van Buren,carrot,827,,,,,,little fingers,organic nospray,,silty,medium,5,3,18.66,96,00:00:00:02,4.30878,7.94345,18.9872,17.3113,21.6555,28.3266,25.612,-37.599,-58.4101,-44.1913,4.81,2.79,"Na,Mg,Al,Si,P,S,Rh,K,Ca,Ba,Ti,Cr,Mn,Fe,Ni,Cu,Zn,As,Pb,Se,Rb,Sr,Mo","0.25,3609.67,23422.58,17.42,1167.06,687,0,15284.92,1152.83,758.28,0.47,56.96,2104.63,16103.37,56.24,106.06,145.69,14.6,51.8,1.64,92.13,134.69,22.21","3.918,6.127,135.4,2124.65,14.499,25.289,145.92,342.556,163.205,210.503,246.059,40.818,227.4,1739.46,90.597,46.233,49.364,1.426,1.425,0.369,11.377,17.895,9.9",,,,,,,,,,,,,,,,,,,,2018-11-20T09:14:27.512-05:00,23,4.08024,0.893815,3,-1.20942,-0.727385,3,3.18804,3.88748,2.90247,2.63172,yes,"Na,Mg,Al,Si,P,S,Cl,Rh,K,Ca,Mn,Fe,Ni,Cu,Zn,As,Pb,Se,Mo","776.9,2571.19,41.58,192.29,4996.28,2351.07,2527.27,0,19326.12,3755.59,41.3,70.43,10.04,3.63,27.23,0.07,-0.06,1.33,-0.83","5.007,3.872,9.179,22.421,92.292,90.339,216.705,331.343,1052.51,355.984,54.034,97.731,141.8,73.647,69.981,0.14,0.14,0.16,5.45",2.38,1.7,14.43,0.91,orange,1.8807749999999999,2.305185,3.938745,4.640765,6.75274,40.459,47.77535,46.019949999999994,41.982749999999996,43.379000000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,776.9,2571.19,41.58,192.29,4996.28,2351.07,2527.27,19326.12,3755.59,41.3,70.43,10.04,3.63,27.23,0.07,-0.06,1.33,-0.83,0.25,,3609.67,,23422.58,,17.42,,1167.06,,687,,15284.92,,1152.83,,758.28,,0.47,,56.96,,2104.63,,16103.37,,56.24,,106.06,,145.69,,51.8,,92.13,,134.69,,14.6,,1.64,,22.21,,2
2018-11-19T12:16:21.480-08:00,11/15/18,IA,Van Buren,carrot,828,,,,,,little fingers,organic nospray,,silty,medium,5,3,20.44,96,00:00:00:02,3.04162,5.76188,14.1136,15.2109,18.7514,25.6017,23.2567,-37.5844,-58.393,-44.1635,4.94,2.86,"Na,Mg,Al,Si,P,S,Rh,K,Ca,Ba,Ti,Cr,Mn,Fe,Ni,Cu,Zn,As,Pb,Se,Rb,Sr,Mo","-0.08,3586.47,18898.83,16.74,1111.5,919.9,0,16251.17,1563.89,370.96,0.47,58.1,1163.2,18477.17,62.53,129.13,160.91,16.62,60.04,2.16,91.96,129.12,19.34","4.521,6.125,151.448,2366.87,15.041,32.216,169.422,364.544,160.263,211.806,248.741,42.072,140.22,1815.15,92.889,51.083,51.973,1.598,1.598,0.409,11.356,17.13,9.349",,,,,,,,,,,,,,,,,,,,2018-11-20T09:22:26.890-05:00,19,4.22345,0.899796,3,-2.38255,-2.12034,2,2.33531,2.76497,2.09283,2.13665,yes,"Na,Mg,Al,Si,P,S,Cl,Rh,K,Ca,Mn,Fe,Ni,Cu,Zn,As,Pb,Se,Mo","860.03,772.69,39.27,186.78,4456.35,1904.31,2195.6,0,13310.48,2850.05,53.67,60.82,7.74,4.61,26.24,0.06,0.07,1.09,-0.54","4.82,3.061,7.138,19.064,60.976,69.719,200.595,300.647,709.907,290.956,59.542,94.98,150.187,80.56,76.13,0.12,0.12,0.14,5.47",3.62,1.94,20.65,0.91,orange,-1.054834,-1.436961,-2.2872699999999995,2.2740045,5.964625,42.2671,46.695,47.78175,48.2581,38.2245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,860.03,772.69,39.27,186.78,4456.35,1904.31,2195.6,13310.48,2850.05,53.67,60.82,7.74,4.61,26.24,0.06,0.07,1.09,-0.54,-0.08,,3586.47,,18898.83,,16.74,,1111.5,,919.9,,16251.17,,1563.89,,370.96,,0.47,,58.1,,1163.2,,18477.17,,62.53,,129.13,,160.91,,60.04,,91.96,,129.12,,16.62,,2.16,,19.34,,2
2018-11-19T12:21:52.790-08:00,11/15/18,IA,Van Buren,carrot,829,,,,,,little fingers,organic nospray,,silty,medium,5,3,18.11,96,00:00:00:02,4.06221,7.43931,17.9237,17.5788,21.3865,28.5878,26.4052,-37.5952,-58.403,-44.1868,4.66,2.7,"Na,Mg,Al,Si,P,S,Rh,K,Ca,Ba,Ti,Cr,Mn,Fe,Ni,Cu,Zn,As,Pb,Se,Rb,Sr,Mo","-0.08,3566.83,19003.12,16.75,1124.55,994.23,0,16814.76,2063.84,-225.88,0.48,64.42,1024.12,18401.96,61.83,127.17,159.03,13.32,45.54,2.31,90.1,126.38,20.76","4.621,6.14,154.705,2380.73,15.655,35.161,170.437,377.121,167.543,213.589,252.602,44.407,126.736,1762.78,92.99,50.626,51.676,1.308,1.306,0.421,11.128,16.755,9.625",,,,,,,,,,,,,,,,,,,,2018-11-26T13:21:49.536-05:00,,,,,,,,,,,,yes,"Na,Mg,Al,Si,P,S,Cl,Rh,K,Ca,Mn,Fe,Ni,Cu,Zn,As,Pb,Se,Mo","1295.54,1894.46,40.32,214.69,4430.23,2273.16,3097.22,0,17147.41,3121.65,42.12,52.04,6.96,6.65,26.33,0.11,0.12,1.16,-0.24","4.673,3.455,8.518,19.314,66.025,87.773,235.326,332.051,924.993,307.991,54.223,93.462,139.481,75.608,71.325,0.16,0.17,0.14,5.51",,,,,orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1295.54,1894.46,40.32,214.69,4430.23,2273.16,3097.22,17147.41,3121.65,42.12,52.04,6.96,6.65,26.33,0.11,0.12,1.16,-0.24,-0.08,,3566.83,,19003.12,,16.75,,1124.55,,994.23,,16814.76,,2063.84,,-225.88,,0.48,,64.42,,1024.12,,18401.96,,61.83,,127.17,,159.03,,45.54,,90.1,,126.38,,13.32,,2.31,,20.76,,2
2018-11-19T12:08:13.614-08:00,11/15/18,IA,Van Buren,spinach,830,,,,,,Bloomsdale,organic nospray,,silty,medium,5,3,19.48,96,00:00:00:02,2.89438,6.57309,15.7381,16.1079,20.7732,29.7209,25.2194,-37.5713,-58.3835,-44.1321,4.24,2.46,"Na,Mg,Al,Si,P,S,Rh,K,Ca,Ba,Ti,Cr,Mn,Fe,Ni,Cu,Zn,As,Pb,Se,Rb,Sr,Mo","0.15,3393.61,22496.22,17.09,1210.3,780.81,0,16875.74,2817.26,-98.06,0.49,55.35,1005.77,20158.7,59.39,116.39,169.16,13.38,87.02,2.17,92.05,136.84,21.88","4.472,5.903,151.655,2304.03,17.642,26.184,158.174,378.801,191.716,217.913,257.164,42.699,127.181,1993.3,89.962,48.688,52.91,1.665,1.68,0.411,11.366,18.189,9.833",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-11-20T09:50:30.161-05:00,3.93773,0.560057,3,-24.4894,-37.2046,-59.2596,-13.4942,-10.9841,-8.12129,-8.98463,yes,"Na,Mg,Al,Si,P,S,Cl,Rh,K,Ca,Mn,Fe,Ni,Cu,Zn,As,Pb,Se,Mo","-1620.74,28143.04,434.28,7703.93,4081.87,4368.88,4586.93,0,58079.31,7864.95,135.05,1243.12,8.15,5.22,97.28,0.61,4.53,6.76,3.19","6.42,9.201,40.43,290.665,170.48,193.806,330.277,430.062,3307.67,548.881,67.296,295.398,124.219,66.035,94.968,0.28,0.28,0.18,5.95",71.19,251.54,2.32,-2.93847,-4.401566666666667,-1.4009866666666666,-4.396536666666666,-2.81247,-4.7861166666666675,-4.39058,43.979099999999995,46.069966666666666,51.06613333333333,-1620.74,28143.04,434.28,7703.93,4081.87,4368.88,4586.93,58079.31,7864.95,135.05,1243.12,8.15,5.22,97.28,0.61,4.53,6.76,3.19,0.15,,3393.61,,22496.22,,17.09,,1210.3,,780.81,,16875.74,,2817.26,,-98.06,,0.49,,55.35,,1005.77,,20158.7,,59.39,,116.39,,169.16,,87.02,,92.05,,136.84,,13.38,,2.17,,21.88,,2
2018-11-19T12:07:19.085-08:00,11/15/18,IA,Jefferson,spinach,824,,,,,,Bloomsdale,organic nospray,,silty,low,0,3,22.66,96,00:00:00:02,2.21099,5.01416,12.3651,17.6717,19.1485,28.8861,26.0046,-37.5768,-58.3877,-44.1473,5.49,3.18,"Na,Mg,Al,Si,P,S,Rh,K,Ca,Ba,Ti,Cr,Mn,Fe,Ni,Cu,Zn,As,Pb,Se,Rb,Sr,Mo","0.07,3518.62,19450.21,16.56,1097.8,2556.64,0,16997.48,5763.54,394.16,0.47,63.24,538.29,16806.63,60.01,120.75,157.17,9.47,72.74,2.25,91.99,147.28,20.01","4.447,6.023,138.739,2375.36,15.702,93.184,161.701,382.818,287.669,209.85,246.423,41.239,78.919,1489.87,94.626,48.939,51.262,1.347,1.364,0.416,11.36,19.62,9.482",9,14.79,96,00:00:00:02,3.23456,6.58234,14.8966,16.3437,18.9563,27.1706,23.5847,-37.5841,-58.3992,-44.1561,4.41,2.56,"Na,Mg,Al,Si,P,S,Rh,K,Ca,Ba,Ti,Cr,Mn,Fe,Ni,Cu,Zn,As,Pb,Se,Rb,Sr,Mo","0.17,3524.76,20949.02,15.75,1045.05,1218.65,0,16845.3,3670.48,154.67,0.47,67.11,642.79,16759.6,61.12,124.36,155.05,16.5,36.92,2.64,90.42,142.5,20","4.635,5.921,142.486,2490.12,14.551,46.145,158.55,378.55,220.668,209.103,246.301,42.903,88.71,1495.85,95.135,49.662,51.037,1.396,1.385,0.447,11.167,18.964,9.486",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-11-20T09:03:51.524-05:00,4.43252,1.53873,3.51742,-25.1006,-37.0562,-44.9797,-3.98265,-2.42405,-2.952,-4.66534,yes,"Na,Mg,Al,Si,P,S,Cl,Rh,K,Ca,Mn,Fe,Ni,Cu,Zn,As,Pb,Se,Mo","-17418.03,6250.24,85.38,443.68,5477.86,5049.91,11145.24,0,39456.25,5014.59,58.41,232.86,10.06,3.62,49.29,0.15,0.31,2.29,2.95","9.87,10.253,19.147,69.677,131.312,207.133,751.743,738.131,2116.83,401.634,57.334,132.562,133.157,68.573,77.041,0.18,0.18,0.16,5.92",70.11,250.7,4.09,-3.20477,-4.690449999999999,-1.6922056666666665,-4.162669999999999,-2.58013,-5.658083333333334,-5.618493333333333,50.78446666666667,52.522400000000005,61.432433333333336,-17418.03,6250.24,85.38,443.68,5477.86,5049.91,11145.24,39456.25,5014.59,58.41,232.86,10.06,3.62,49.29,0.15,0.31,2.29,2.95,0.07,0.17,3518.62,3524.76,19450.21,20949.02,16.56,15.75,1097.8,1045.05,2556.64,1218.65,16997.48,16845.3,5763.54,3670.48,394.16,154.67,0.47,0.47,63.24,67.11,538.29,642.79,16806.63,16759.6,60.01,61.12,120.75,124.36,157.17,155.05,72.74,36.92,91.99,90.42,147.28,142.5,9.47,16.5,2.25,2.64,20.01,20,2
2018-11-19T12:06:41.665-08:00,11/15/18,IA,Jefferson,spinach,820,,,,,,Bloomsdale,organic nospray,,silty,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-11-20T08:58:58.382-05:00,4.05097,0.895608,4,-24.4005,-36.6855,-48.8183,-7.16838,-5.03818,-4.73229,-6.72817,yes,"Na,Mg,Al,Si,P,S,Cl,Rh,K,Ca,Mn,Fe,Ni,Cu,Zn,As,Pb,Se,Mo","-13169.73,21408.1,129.12,1474.68,4499.36,4941.32,9680.23,0,64607.72,9016.68,51.77,244.44,7.64,5.85,52.14,0.16,0.48,2.89,0.82","9.168,11.892,28.875,90.04,140.635,224.719,650.608,701.588,3593.81,594.495,57.938,134.901,134.832,72.431,81.77,0.19,0.19,0.22,5.69",90.24,323.25,2.77,-3.1477766666666667,-4.57974,-1.5530933333333337,-3.7460133333333325,-3.1794333333333333,-6.057156666666667,-5.559346666666667,51.18833333333333,54.767966666666666,58.121633333333335,-13169.73,21408.1,129.12,1474.68,4499.36,4941.32,9680.23,64607.72,9016.68,51.77,244.44,7.64,5.85,52.14,0.16,0.48,2.89,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
2018-11-19T12:29:47.594-08:00,11/16/18,IA,Jefferson,carrot,837,,,,,,danvers,organic nospray biological_amendments notill,,clay,high,0,3,29.4,96,00:00:00:02,2.83183,5.49898,12.3641,9.61524,12.5308,16.7767,13.718,-37.5847,-58.3939,-44.158,8.45,4.9,"Na,Mg,Al,Si,P,S,Rh,K,Ca,Ba,Ti,Cr,Mn,Fe,Ni,Cu,Zn,As,Pb,Se,Rb,Sr,Mo","-0.21,3992.56,18989.05,17.25,1309.12,1350.26,0,15402.39,5331.41,308.07,0.43,44.13,789.88,26571.37,59.13,114.3,149.79,34.6,156.2,2,97.46,138.75,17.18","3.901,7.287,155.771,1849.39,16.746,35.536,170.907,347.352,300.078,190.844,224.858,44.967,113.724,2720.18,84.127,49.088,50.252,3.33,3.346,0.397,12.032,18.451,8.905",,,,,,,,,,,,,,,,,,,,2018-11-20T10:28:17.725-05:00,33,4.18766,1.04826,2,-5.77297,-5.83852,1,2.54852,3.29538,2.70077,2.48374,yes,"Na,Mg,Al,Si,P,S,Cl,Rh,K,Ca,Mn,Fe,Ni,Cu,Zn,As,Pb,Se,Mo","778.99,429.45,45.79,316.92,6196.63,2911.76,9370.61,0,31714.58,4993.9,29.09,18.83,8.55,5.17,24.9,0.1,0.02,1.07,0.87","6.382,4.241,13.234,20.078,129.537,119.141,523.7,579.235,1719.21,428.448,51.263,85.962,128.014,66.457,62.028,0.16,0.16,0.13,5.64",4.73,1.61,89.08,0.9,orange,0.0569177,-0.7844575,0.5435875,-3.29346,-0.733792,39.13305,50.9089,52.216499999999996,55.46455,50.12615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,778.99,429.45,45.79,316.92,6196.63,2911.76,9370.61,31714.58,4993.9,29.09,18.83,8.55,5.17,24.9,0.1,0.02,1.07,0.87,-0.21,,3992.56,,18989.05,,17.25,,1309.12,,1350.26,,15402.39,,5331.41,,308.07,,0.43,,44.13,,789.88,,26571.37,,59.13,,114.3,,149.79,,156.2,,97.46,,138.75,,34.6,,2,,17.18,,4
2018-11-19T12:29:06.378-08:00,11/16/18,IA,Jefferson,carrot,838,,,,,,danvers,organic nospray biological_amendments notill,,clay,high,0,3,28.45,96,00:00:00:02,2.74048,5.29685,11.9438,10.2728,12.6472,17.4006,14.6558,-37.5825,-58.3792,-44.153,8.3,4.81,"Na,Mg,Al,Si,P,S,Rh,K,Ca,Ba,Ti,Cr,Mn,Fe,Ni,Cu,Zn,As,Pb,Se,Rb,Sr,Mo","0.06,3663.67,22067.34,16.73,1374.77,1081.06,0,15172.54,5352.78,263.57,0.42,39.18,643.46,26287.11,54.28,105.54,147.26,14.51,113.57,2.73,101.11,152.26,19.69","3.838,6.538,142.574,1702.85,17.102,29.819,154.847,342.1,304.766,185.917,219.338,40.485,98.67,2581.9,82.342,47.339,49.711,1.952,1.974,0.454,12.484,20.303,9.386",,,,,,,,,,,,,,,,,,,,2018-11-20T10:36:11.448-05:00,21,4.07192,0.594894,3,-4.02518,-4.02249,0,1.94525,2.38839,1.67935,1.62186,yes,"Na,Mg,Al,Si,P,S,Cl,Rh,K,Ca,Mn,Fe,Ni,Cu,Zn,As,Pb,Se,Mo","-301.56,1289.75,42.9,289.64,5509.96,2133.76,5697.97,0,27091.49,5095.02,28.13,25.23,7.33,6.17,34.02,0.11,0.01,1.16,-1.17","6.132,4.277,11.628,18.894,112.117,87.092,359.509,434.251,1481.1,449.12,50.864,87.531,137.204,73.815,73.94,0.16,0.16,0.18,5.42",3.14,1.55,26.72,0.9,orange,-0.6059885,-1.777965,-0.9968,-1.0853165,1.7645570000000002,39.048,49.189049999999995,50.7872,54.9539,45.11295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-301.56,1289.75,42.9,289.64,5509.96,2133.76,5697.97,27091.49,5095.02,28.13,25.23,7.33,6.17,34.02,0.11,0.01,1.16,-1.17,0.06,,3663.67,,22067.34,,16.73,,1374.77,,1081.06,,15172.54,,5352.78,,263.57,,0.42,,39.18,,643.46,,26287.11,,54.28,,105.54,,147.26,,113.57,,101.11,,152.26,,14.51,,2.73,,19.69,,4
