Planting,Unique Planting,State,ID,Lab,Share Code,Source,Type,Store Name,Store Brand,Farmer,Farm Practices,Variety,Quality in field,Damage,Quality in lab,Color,Size cm,Brix,Dry Mass % (x 100),Polyphenols,Antioxidants,"Crop, Sodium (noisy)","Crop, Magnesium (noisy)","Crop, Aluminum","Crop, Silicon","Crop, Phosphorous","Crop, Sulfur","Crop, Chlorine","Crop, Potassium","Crop, Calcium","Crop, Manganese","Crop, Iron","Crop, Nickel","Crop, Copper","Crop, Zinc","Crop, Arsenic","Crop, Selenium","Crop, Molybdenum","Crop, Lead",Soil 0-10cm Organic Matter %,Soil 0-10cm Total Organic Carbon %,Soil 0-10cm pH,Soil 0-10cm Soil Respiration,"Soil 0-10cm, Sodium (noisy)","Soil 0-10cm, Magnesium (noisy)","Soil 0-10cm, Aluminum","Soil 0-10cm, Silicon %","Soil 0-10cm, Phosphorous","Soil 0-10cm, Sulfur","Soil 0-10cm, Potassium","Soil 0-10cm, Calcium","Soil 0-10cm, Titanium","Soil 0-10cm, Vanadium","Soil 0-10cm, Chromium","Soil 0-10cm, Manganese","Soil 0-10cm, Iron","Soil 0-10cm, Nickel","Soil 0-10cm, Copper","Soil 0-10cm, Zinc","Soil 0-10cm, Arsenic","Soil 0-10cm, Selenium","Soil 0-10cm, Rubidium","Soil 0-10cm, Strontium","Soil 0-10cm, Molybdenum","Soil 0-10cm, Lead",Soil 10-20cm Organic Matter %,Soil 10-20cm Total Organic Carbon %,Soil 10-20cm pH,Soil 10-20cm Soil Respiration,"Soil 10-20cm, Sodium (noisy)","Soil 10-20cm, Magnesium (noisy)","Soil 10-20cm, Aluminum","Soil 10-20cm, Silicon %","Soil 10-20cm, Phosphorous","Soil 10-20cm, Sulfur","Soil 10-20cm, Potassium","Soil 10-20cm, Calcium","Soil 10-20cm, Titanium","Soil 10-20cm, Vanadium","Soil 10-20cm, Chromium","Soil 10-20cm, Manganese","Soil 10-20cm, Iron","Soil 10-20cm, Nickel","Soil 10-20cm, Copper","Soil 10-20cm, Zinc","Soil 10-20cm, Arsenic","Soil 10-20cm, Selenium","Soil 10-20cm, Rubidium","Soil 10-20cm, Strontium","Soil 10-20cm, Molybdenum","Soil 10-20cm, Lead",Shipping time hrs,Processing time hrs,Total time hrs,Maturity days,Sweetness (0-5 scale),Flavor (0-5 scale),Overall Taste (0-5 scale),Juice Scan Device ID,Juice Scan 365nm,Juice Scan 385nm,Juice Scan 450nm,Juice Scan 500nm,Juice Scan 530nm,Juice Scan 587nm,Juice Scan 632nm,Juice Scan 850nm,Juice Scan 880nm,Juice Scan 940nm,Surface Scan Device ID,Surface Scan 365nm,Surface Scan 386nm,Surface Scan 450nm,Surface Scan 500nm,Surface Scan 530nm,Surface Scan 587nm,Surface Scan 632nm,Surface Scan 850nm,Surface Scan 880nm,Surface Scan 940nm
,,michigan,3238,Ann Arbor,0,store,cherry_tomato,meijer,sunset,,none,,none,,yes,red,27,,0.076,21.48,992.62,7.40,9.18,0.21,2.06,19.75,3.73,28.76,207.74,12.83,0.24,0.31,0.03,0.02,0.19,0.00,0.01,-0.00,-0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:00:01:2f,-59.18,-23.72,-5.215,0.4979,1.024,6.908,15.16,19.03,18.34,17.67
,,michigan,3239,Ann Arbor,0,store,cherry_tomato,meijer,sunset,,none,,,,yes,red,23,,0.072,22.87,858.19,,,,,,,,,,,,,,,0.00,0.01,-0.00,-0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:00:01:2f,-191.6,-93.67,-18.97,0.02045,0.2783,7.583,15.59,20.24,19.18,18.65
,,michigan,3240,Ann Arbor,0,store,cherry_tomato,meijer,sunset,,none,,,,yes,red,25,,0.076,21.63,969.36,,,,,,,,,,,,,,,0.00,0.01,0.01,-0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:00:01:2f,-125.5,-56.31,-12.56,-0.08942,1.284,7.725,14.05,18.11,16.58,15.56
,,michigan,3241,Ann Arbor,0,store,grape,meijer,,,none,,none,,yes,red,20,,0.197,20.64,938.16,,,,,,,,,,,,,,,0.00,0.02,-0.01,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:00:01:2f,-217.5,-110.3,-25.26,-2.847,-3.241,-2.695,-1.539,9.315,7.702,3.101
,,michigan,3242,Ann Arbor,0,store,grape,meijer,,,none,,,,yes,red,20,,0.197,27.7,1038.19,,,,,,,,,,,,,,,0.00,0.02,0.00,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:00:01:2f,-113.4,-53.12,-12.88,-1.567,-0.9809,0.4414,2.034,12.11,12.38,11.92
,,michigan,3243,Ann Arbor,0,store,grape,meijer,,,none,,,,yes,red,21,,,,,,,,,,,,,,,,,,,0.00,0.02,-0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:00:01:2f,-343.0,-162.1,-36.79,-6.944,-7.151,-6.636,-5.504,3.694,1.460,-9.486
,,michigan,3244,Ann Arbor,0,store,lettuce,meijer,andy_boy,,none,,none,,yes,green,,,0.066,10.77,387.45,,,,,,,,,,,,,,,0.00,0.01,-0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:00:00:de,-0.3685,-3.963,-6.944,0.1119,4.011,3.031,2.635,56.64,63.20,62.45
,,michigan,3245,Ann Arbor,0,store,lettuce,meijer,andy_boy,,none,,,,yes,green,,,,26.93,794.75,11.20,15.55,0.22,1.96,21.16,12.93,34.42,193.32,35.54,0.33,0.91,0.04,0.02,0.17,0.00,0.01,0.00,-0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:00:00:de,0.9345,-2.073,-6.490,1.282,3.219,3.761,4.002,61.25,70.27,65.45
,,michigan,3246,Ann Arbor,0,store,lettuce,meijer,andy_boy,,none,,,,yes,green,,,0.055,9.56,256.35,8.85,30.52,0.26,1.72,41.89,21.48,48.79,187.83,30.73,0.21,0.44,0.02,0.03,0.13,0.00,0.01,-0.01,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:00:00:de,4.103,5.400,0.8301,6.999,12.90,14.84,12.06,54.14,61.46,58.06
,,michigan,3247,Ann Arbor,0,store,spinach,meijer,,,certified_organic,,none,,yes,green,,,0.072,59.95,1270.15,,,,,,,,,,,,,,,0.00,0.03,0.03,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:00:00:de,-0.5692,-3.873,-2.752,2.307,4.326,5.413,5.534,50.44,58.32,50.63
,,michigan,3248,Ann Arbor,0,store,spinach,meijer,,,certified_organic,,,,yes,green,,,0.071,77.34,33.38,,,,,,,,,,,,,,,0.00,0.03,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:00:00:de,-0.03876,-2.481,-2.510,0.5694,4.041,3.785,3.609,42.81,52.06,53.24
,,michigan,3249,Ann Arbor,0,store,spinach,meijer,,,certified_organic,,,,yes,green,,,0.082,53.9,27.59,,,,,,,,,,,,,,,0.00,0.02,0.03,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:00:00:de,0.2675,-2.346,-4.871,2.069,4.154,5.180,5.391,42.00,48.71,48.06
,,michigan,3250,Ann Arbor,0,store,kale,meijer,,,none,,none,,yes,green,,,0.161,85.49,5483.22,7.47,35.08,0.43,3.59,43.16,122.38,26.78,272.01,336.57,0.03,2.54,0.10,0.03,0.37,0.00,0.02,0.30,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:00:00:de,0.2349,-3.450,-2.214,-0.3417,0.1662,-1.083,0.9832,44.83,49.90,42.14
,,michigan,3251,Ann Arbor,0,store,kale,meijer,,,none,,,,yes,green,,,0.127,66.21,2321.63,10.70,68.45,0.45,3.62,42.88,143.86,60.52,256.57,615.13,-0.46,2.33,0.14,0.01,0.31,0.00,0.03,0.25,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:00:00:de,1.210,-1.674,-2.429,-1.477,-0.05774,-1.210,0.3423,41.85,48.28,49.78
,,michigan,3252,Ann Arbor,0,store,kale,meijer,,,none,,,,yes,green,,,0.124,109.5,5252.93,,,,,,,,,,,,,,,0.00,0.03,0.29,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:00:00:de,-0.7593,-5.142,-8.962,-1.206,-1.104,-0.6263,0.8843,47.99,58.66,53.25
,,michigan,3262.1,Ann Arbor,0,store,grape,meijer,sun_pacific,,none,,none,,yes,green,22,,0.197,24.86,1248.34,,,,,,,,,,,,,,,0.01,0.03,0.03,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:00:01:2f,157.2,90.06,23.40,20.99,27.68,24.45,21.65,26.07,29.34,24.73
